Country Name,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United States,1.73119E+11,1.26895E+11,1.04665E+11,1.35673E+11,-2.09363E+11,-1.74573E+11,38381000000,-4.1278E+11,-1.63161E+11,-59141000000
Canada,11756393310,12879466786,-12563236013,805191688.4,23927632715,33404095513,52829985895,18933551593,31085020262,25201341932
Afghanistan,-51036283.61,-65684511.34,-47774027.01,-42994416.21,-166983554.9,-79585268.75,-40273161,-80631404.07,2916492.929,24258330.11
India,-23890659988,-15442447343,-26388082470,-22890162761,-36495216491,-39411278940,-28875941053,-30699661201,-37469945322,-52782404735
Latvia,-1411691737,-919475458.8,-495450664.4,-350967570.7,-668794640.2,-90021671.97,-586973956.4,-745302476.9,-975622956.4,-605842654.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,